,English_name,scientific_name,order,family,category
1,Ostriches,Struthionidae,Struthioniformes,Struthionidae (Ostriches),family
2,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),species
3,,Struthio camelus camelus,Struthioniformes,Struthionidae (Ostriches),subspecies
4,,Struthio camelus syriacus,Struthioniformes,Struthionidae (Ostriches),subspecies
5,,Struthio camelus massaicus,Struthioniformes,Struthionidae (Ostriches),subspecies
6,,Struthio camelus australis,Struthioniformes,Struthionidae (Ostriches),subspecies
7,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),species
8,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),slash
9,Rheas,Rheidae,Rheiformes,Rheidae (Rheas),family
10,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),species
11,,Rhea americana araneipes,Rheiformes,Rheidae (Rheas),subspecies
12,,Rhea americana americana,Rheiformes,Rheidae (Rheas),subspecies
13,,Rhea americana nobilis,Rheiformes,Rheidae (Rheas),subspecies
14,,Rhea americana albescens,Rheiformes,Rheidae (Rheas),subspecies
15,,Rhea americana intermedia,Rheiformes,Rheidae (Rheas),subspecies
16,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),species
17,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),group (polytypic)
18,,Rhea pennata garleppi,Rheiformes,Rheidae (Rheas),subspecies
19,,Rhea pennata tarapacensis,Rheiformes,Rheidae (Rheas),subspecies
20,Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),group (monotypic)
21,Tinamous,Tinamidae,Tinamiformes,Tinamidae (Tinamous),family
22,Tawny breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),species
23,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),species
24,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),group (polytypic)
25,,Nothocercus bonapartei intercedens,Tinamiformes,Tinamidae (Tinamous),subspecies
26,,Nothocercus bonapartei discrepans,Tinamiformes,Tinamidae (Tinamous),subspecies
27,,Nothocercus bonapartei bonapartei,Tinamiformes,Tinamidae (Tinamous),subspecies
28,,Nothocercus bonapartei plumbeiceps,Tinamiformes,Tinamidae (Tinamous),subspecies
29,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),group (monotypic)
30,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),species
31,,Nothocercus nigrocapillus cadwaladeri,Tinamiformes,Tinamidae (Tinamous),subspecies
32,,Nothocercus nigrocapillus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),subspecies
33,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),species
34,,Tinamus tao larensis,Tinamiformes,Tinamidae (Tinamous),subspecies
35,,Tinamus tao kleei,Tinamiformes,Tinamidae (Tinamous),subspecies
36,,Tinamus tao septentrionalis,Tinamiformes,Tinamidae (Tinamous),subspecies
37,,Tinamus tao tao,Tinamiformes,Tinamidae (Tinamous),subspecies
38,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),species
39,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),species
40,,Tinamus osgoodi hershkovitzi,Tinamiformes,Tinamidae (Tinamous),subspecies
41,,Tinamus osgoodi osgoodi,Tinamiformes,Tinamidae (Tinamous),subspecies
42,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),species
43,,Tinamus major robustus,Tinamiformes,Tinamidae (Tinamous),subspecies
44,,Tinamus major percautus,Tinamiformes,Tinamidae (Tinamous),subspecies
45,,Tinamus major fuscipennis,Tinamiformes,Tinamidae (Tinamous),subspecies
46,,Tinamus major castaneiceps,Tinamiformes,Tinamidae (Tinamous),subspecies
47,,Tinamus major brunneiventris,Tinamiformes,Tinamidae (Tinamous),subspecies
48,,Tinamus major saturatus,Tinamiformes,Tinamidae (Tinamous),subspecies
