id,neigh1,neigh2,neigh3,neigh4,neigh5,neigh6,neigh7,neigh8
1,13561,19271,21155,,,,,
2,236,414,615,6175,14737,17651,17854,18607
3,1524,1543,3143,4713,6333,8257,11994,13246
4,12489,17706,,,,,,
5,2550,3004,4267,5728,9200,9751,11607,12483
6,2584,5371,6465,6910,10161,12861,21148,21750
7,3204,5537,10428,12278,14388,15354,15371,19936
8,2247,3700,4520,6109,6197,8243,13097,13922
9,354,818,9448,14744,16252,18433,20519,21724
10,1893,5093,6275,6353,10840,11252,14581,15319
11,5571,7213,7973,8109,8162,8576,8993,19006
12,2267,4799,6179,8112,9600,10233,11216,11966
13,1855,3542,7593,8328,10579,11396,15344,16687
14,2925,8702,12634,15181,15599,19218,19439,20282
15,889,3077,6742,7554,8843,10434,12748,18032
16,1038,1413,3484,4849,5437,7365,9691,13973
17,8565,14694,14970,15475,17471,20236,21101,22051
18,2962,3060,3484,5437,7968,9957,11557,15277
19,5842,,,,,,,
20,1026,7923,9681,13714,16810,16833,17565,18034
21,2945,18688,19162,20372,,,,
22,3432,4232,4402,7826,7941,12456,12605,13870
23,5876,5879,5956,16431,19257,19399,20942,21679
24,2732,10693,11963,15176,15611,17316,17514,18620
25,4916,11096,14205,17400,18613,19499,21930,21988
26,0,,,,,,,
27,3777,5629,8932,10953,11772,14964,15732,18359
28,1672,4841,6350,6508,8137,8745,14340,15662
29,8482,9499,17341,17626,20000,,,
30,861,1697,6156,10328,18616,18886,,
31,3017,3056,4969,7726,12335,13818,14850,17445
32,1041,2323,2430,4366,6753,8816,9440,14357
33,4920,5136,5409,16906,17084,20398,20898,21206
34,13490,14348,15055,15282,17795,17855,19713,20634
35,466,9386,9946,11578,16187,19238,19611,19897
36,1589,1615,2223,4317,4945,6590,8157,9428
37,3543,3991,5562,5882,9386,12572,19611,19755
38,6026,7667,7707,10823,13939,15011,15824,18719
39,4132,5832,11358,13381,15977,19504,19571,20556
40,5210,5389,6476,8978,9696,12080,15167,18826
41,1071,1271,6165,10112,11345,11872,13078,15955
42,3310,5298,5714,7826,10492,12605,12732,13870
43,0,,,,,,,
44,585,2669,3521,7157,10611,13193,13844,17153
45,334,1192,9509,10197,10589,12796,14036,14761
46,3711,6155,12292,13036,17304,17421,20677,20876
47,5181,6713,6900,10176,12119,12762,13035,
48,1450,2867,7273,8872,11742,17168,,
49,1557,14417,19289,,,,,
50,12041,,,,,,,
51,5016,7525,8457,8812,9990,13849,14838,16830
52,10217,,,,,,,
53,1069,1922,6079,9349,13858,16540,19740,
54,5303,6164,8311,11284,11975,15597,17077,
55,1814,9352,10671,11755,11791,11823,15389,16152
56,364,807,2721,8269,9314,9488,10843,10924
57,1254,3918,9452,11463,11507,13451,15569,16231
58,2307,2622,4240,12426,15090,15104,17115,17247
59,2988,3506,5699,11170,13698,14110,14121,15856
60,9592,13899,,,,,,
61,2938,3162,3619,5555,14449,16699,17356,21111
62,532,2478,6070,6729,8644,9246,11988,13123
63,3840,6896,10978,11234,14463,15952,18291,21873
64,1569,4293,4618,9335,10302,,,
65,1278,7148,15063,16666,20868,,,
66,796,880,6296,9198,9219,9886,14147,15093
67,2319,2561,3227,4110,4183,6899,9126,11016
68,3411,5150,5226,12964,13245,13611,16629,17803
69,263,264,4694,7730,10033,10609,10883,
70,817,5112,6541,8391,8757,9208,12152,14660
71,949,1084,2834,8262,11159,15421,15491,
72,218,1366,2279,11854,18650,18927,19366,19840
73,521,3623,4408,6176,6622,8834,10031,15591
74,8537,16471,16695,19165,20560,21778,21842,
75,5698,6076,7335,9584,10619,12123,12205,18463
76,221,3198,11058,11691,11709,12417,12629,13833
77,230,1719,2146,6647,8963,10280,11146,12442
78,422,2200,3678,9144,12597,13840,16173,17986
79,829,8061,10173,11850,12250,13189,16263,17116
80,2025,3807,5526,5725,7801,9172,9894,10107
81,2488,2780,4254,6947,15492,16798,18770,19104
82,356,3466,4582,4944,6127,6444,9197,13392
83,2308,2827,7233,8143,10278,16720,21460,21595
84,5558,8889,11453,16915,17934,18575,20766,20884
85,361,830,8167,8971,10252,12526,15402,15719
86,4790,6649,10787,11164,13918,17056,17727,18689
87,1652,5284,8945,9051,16344,16949,20300,21508
88,4006,4449,5252,12435,13459,14151,,
89,5939,7695,12239,16119,18757,21680,21774,
90,15139,,,,,,,
91,284,3349,6768,11920,13991,,,
92,2101,4883,4884,5769,7916,13048,15152,15466
93,831,4216,4283,6841,11555,12214,16165,17955
94,2723,2742,5488,7905,8197,11585,11982,12393
95,2724,4459,7875,10177,13519,15908,18140,20705
96,1310,1874,10462,10541,11668,15196,20834,
97,4067,5049,11313,12931,13987,16379,17262,
98,3944,9000,11471,14869,17339,18038,19312,21435
99,9277,11525,12533,19465,19703,,,
100,3705,5417,8218,10103,12949,14723,16876,18527
101,1108,5073,9479,10395,11175,11636,14864,15271
102,10656,13301,13739,13981,14010,16072,17526,21290
103,1809,5636,8383,11784,15383,17179,18726,20176
104,3940,9931,14080,15180,16822,20137,20160,21814
105,1564,2922,6512,6604,9975,9992,11317,18317
106,863,3261,5497,7888,10761,15148,19208,19709
107,702,2077,3830,5131,8806,11212,14995,15552
